PERATURAN,BAB,PASAL
1480577941-komentar-umum-kovenan-hak-sipil- XHHPA .,VII PBB PBB KOMENTAR UMUM," ini adalah replika dari pasal 18(4) ICCPR dan juga berhubungan dengan kebebasan untuk mengajarkan suatu agama atau kepercayaan sebagaimana tercantum dalam pasal 18 (I) ICCPR (Baca “Komentar Umum 22 oleh Komite Hak Asasi Manusia pada pasal 18 ICCPR, sesi keempatpuluh delapan, 1993). Komite mencatat bahwa karakter dasar dari pasal 18 ICCPR dicerminkan dalam fakta bahwa ketetapan ini tidak boleh dirugikan, sekalipun dalam keadaan darurat, sebagaimana dinyatakan dalam pasal 4 (2) Perjanjian. 15. Menurut pasal 2: “Apabila diijinkan dalam suatu Negara, situasi-situasi lanjutan tidak boleh dianggap sebagai dasar dari diskriminasi, seperti yang dimaksud dalam pasal 1 Konvensi ini: (a) Pembentukan atau dipertahankannya berbagai sistem atau institusi pendidikan yang terpisah untuk para siswa dari dua jenis kelamin, jika sistem atau institusi ini menawarkan akses yang sepadan ke pendidikan, menyediakan seorang staff pengajar dengan standar kecakapan yang   168 Komentar Umum 13 Hak untuk Menikmati Pendidikan ("
1480577941-komentar-umum-kovenan-hak-sipil- XHHPA .,VII PBB PBB KOMENTAR UMUM," 13 Perjanjian Internasional atas Hak-hak Ekonomi, Sosial dan Budaya)     setara seperti halnya gedung dan peralatan sekolah yang sama, dan mengusahakan peluang untuk pemilihan program studi yang sama atau setara; (b) Pembentukan atau dipertahankannya sistem atau institusi pendidikan yang terpisah, karena pertimbangan agama atau bahasa, menawarkan suatu pendidikan yang sesuai dengan keinginan orang-tua siswa atau walinya yang sah, jika tingkat partisipasi dan daftar hadir dalam institusi- institusi itu bersifat opsional dan jika pendidikan yang diadakan sejalan dengan standar-standar itu sebagaimana dirancang atau disepakati oleh pihak otoritas yang berwenang, khususnya bagi pendidikan yang tingkatannya sama; (c) Pembentukan atau dipertahankannya institusi-institusi pendidikan swasta, jika sasaran dari institusi itu bukanlah untuk menguatkan eksklusivitas suatu kelompok, tetapi untuk menyediakan berbagai fasilitas pendidikan sebagai pelengkap dari fasilitas yang disediakan oleh otoritas-otoritas publik, jika institusi-institusi itu diselenggarakan segaris dengan sasaran itu, dan jika pendidikan yang diadakan sesuai dengan standar-standar yang mungkin dirancang atau disepakati oleh para otoritas yang berwenang, khususnya bagi pendidikan yang tingkatannya sama.” 16.   Baca Rekomendasi UNESCO Mengenai Status Staf Pengajar Pendidikan Tinggi (1997). 17.   Dalam perumusan paragraf ini, Komite telah mempelajari praktek yang berkembang di tempat lain dalam sistem hak asasi manusia internasional, seperti interpretasi yang diajukan oleh Komite Hak Anak hingga pasal 28 (2) Konvensi Hak Anak, juga interpretasi Komite Hak Asasi Manusia atas pasal 7 ICCPR. 18.   Komite mencatat bahwa, walaupun tidak tercantum dalam pasal 26 (2) Deklarasi, para perancang ICESCR dengan gamblang mencakupkan martabat kepribadian manusia sebagai salah satu sasaran wajib yang harus menjadi arah semua pendidikan (pasal 13 [1]). 19.   Baca Komentar Umum Komite 3, par. 1. 20.   Baca Komentar Umum Komite 3, par. 2. 21.   Baca Komentar Umum Komite 3; par. 9. 22.   Baca Komentar Umum Komite 3; par. 9. 23.   Ada banyak sumber daya pendukung Negara dalam hal ini, seperti Guidelines for Curriculum and Textbook Development in International Education (ED/ECS/HCI) UNESCO. Salah satu sasaran dari pasal 13 (1) adalah untuk “memperkuat penghormatan terhadap hak asasi manusia dan kebebasan-kebebasan yang fundamental”; di konteks ini, Negara harus mempelajari prakarsa yang dikembangkan dalam kerangka-kerja Dekade bagi Pendidikan Hak Asasi Manusia PBB- yang sifatnya instruktif adalah adalah Rencana Tindakan dari Dekade bagi Pendidikan Hak Asasi Manusia PBB, yang disetujui oleh Majelis Umum pada tahun 1996, dan Pedoman Rencana Tindakan Nasional bagi Pendidikan Hak Asasi Manusia, yang dikembangkan oleh Kantor Komisaris Tinggi Hak Asasi Manusia untuk membantu Negara dalam merespon Dekade bagi Pendidikan Hak Asasi Manusia PBB. 24.   Untuk makna kata “wajib” dan “bebas biaya,” baca paragraf 6 dan 7 Komentar Umum 11 pada pasal 14. 25.   Dalam berbagai kasus, sistem beasiswa dapat dijadikan sebagai sasaran yang tepat bagi bantuan dan kerjasama internasional sebagaimana termaktub dalam pasal 2(1). 26.   Dalam konteks pendidikan dasar, UNICEF telah mengamati: “ Hanya Negara ..... mampu menyatukan segenap komponen menjadi sebuah sistem yang terpadu, namun fleksibel,” The State of the World’s Children 1999: Education (UNICEF) halaman 77. 27.   Menurut pasal 7(2), “tiap anggota harus, mempertimbangkan pentingnya pendidikan dalam penghapusan perburuhan anak, penerapan ukuran-ukuran yang efektif dan berkerangka-waktu   169 KOMENTAR UMUM KOVENAN INTERNASIONAL HAK EKONOMI, SOSIAL DAN BUDAYA     hingga:..... (c) pemastian akses atas pendidikan dasar yang bebas, dan bilamana memungkinkan dan sesuai, pelatihan kejuruan, untuk semua anak yang diselamatkan dari bentuk perburuhan anak yang terburuk “ (Konvensi ILO 182, Bentuk Perburuhan Anak yang Paling Buruk, 1999). 28. Baca Komentar Umum Komite 3 par. 13-14. 29. Baca Komentar Umum Komite 2 par. 9.     170 Komentar Umum 14  Hak atas Standar Kesehatan Tertinggi yang Dapat Dijangkau   Komite hak-hak ekonomi , sosial dan budaya. Sidang ke: 22. Genewa (25 april – 12 mei 2000). agenda ke: 3. Pelaksanaan Kovenan Internasional Hak-hak Ekonomi, Sosial dan Budaya.20   1.    Kesehatan adalah hak asasi manusia yang fundamental dan tak ternilai demi terlaksananya hak asasi manusia yang lainnya. Setiap orang berhak untuk menikmati standar kesehatan tertinggi yang dapat dijangkau dan kondusif bagi kehidupan manusia yang berderajat. Realisasi hak atas kesehatan dapat tercapai melalui beberapa pendekatan yang beragam, seperti misalnya: pembentukan kebijakan-kebijakan kesehatan atau pelaksanaan program–program yang dibentuk oleh WHO, atau adopsi instrumen-instrumen hukum, selain ini hak atas kesehatan mencakup beberapa komponen yang dapat dilaksanakan menurut hukum.21  2.    Hak asasi manusia atas kesehatan diakui dalam perangkat-perangkat internasional. "
1480577941-komentar-umum-kovenan-hak-sipil- XHHPA .,VII PBB PBB KOMENTAR UMUM," 25 (1) Deklarasi Universal Hak Asasi Manusia menyatakan : “Setiap manusia mempunyai hak atas standar kehidupan yang cukup, bagi kesehatan dirinya sendiri dan keluarganya, yang mencakup makanan, tempat tinggal, pakaian dan pelayanan kesehatan serta pelayanan sosial yang penting”. Kovenan Internasional Hak-Hak Ekonomi, Sosial Dan Budaya menyediakan pasal yang sangat lengkap dan mendetail mengenai hak atas kesehatan dalam hukum hak asasi manusia internasional. Sesuai ketentuan pasal 12 (1). Kovenan, Negara menerima hak setiap orang untuk menikmati standar kesehatan tertinggi fisik dan mental yang terjangkau. "
1480577941-komentar-umum-kovenan-hak-sipil- XHHPA .,VII PBB PBB KOMENTAR UMUM," 12 (2) menunjukkan melalui suatu ilustrasi beberapa langkah yang harus dilakukan oleh Negara peserta untuk mencapai realisasi yang utuh atas hak tersebut. Selain itu hak atas kesehatan diterima dalam pasal 5 (e) (iv) Konvensi Internasional Penghapusan Segala Bentuk Diskriminasi Rasial 1965, dalam pasal 11.1(f), dan pasal 12 Konvensi Internasional Penghapusan Segala Bentuk Diskriminasi Terhadap Perempuan 1979 serta pasal 24 tentang Konvensi Hak Anak (1989). Beberapa perangkat hak asasi manusia regional juga mengakui hak atas kesehatan misalnya: European Social Charter (1961) yang telah direvisi (pasal 11), Piagam Hak Individu Dan Rakyat Africa Tahun 1981 ("
1480577941-komentar-umum-kovenan-hak-sipil- XHHPA .,VII PBB PBB KOMENTAR UMUM," 16) dan Protokol Tambahan Konvensi Amerika mengenai Hak Asasi Manusia Dalam Area Hak Ekonomi, Sosial, dan Budaya tahun 1988 (pasal 10). Hak atas kesehatan juga dinyatakan oleh Komisi Hak Asasi Manusia22, juga pada Deklarasi dan Program Aksi Wina (1963) dan perangkat internasional lainnya.23   20. Diadopsi pada mei 2000. 21. sebagai contoh, prinsip non diskriminasi sehubungan dengan fasilitas, barang dan pelayanan kesehatan secara hukum ditegakkan di beberapa jurisdiksi negara. 22. Dalam resolusinya no 11 tahun 1989. 23. Prinsip-prinsip perlindungan individu-individu yang mempunyai penyakit mental dan peningkatan pelayanan kesehatan mental diadopsi oleh majelis umum PBB di tahun 1991 (resolusi 46/119) dan komentar umum komite no. 5 mengenai individu penyandang cacat termasuk individu dengan penyakit mental; Program pelaksana konferensi internasional mengenai masyarakat dan pembangunan yang diselenggarakan di kairo tahun 1994, juga deklarasi dan program pelaksana konferensi dunia mengenai wanita keempat di Beijing tahun 1995 yang berisi definisi kesehatan reproduksi dan kesehatan wanita.   171 KOMENTAR UMUM KOVENAN INTERNASIONAL HAK EKONOMI, SOSIAL DAN BUDAYA     3.   Hak asasi kesehatan sangat berhubungan dan bergantung kepada realisasi hak lainnya sebagai mana tercantum dalam Piagam Hak Asasi Manusia, termasuk hak atas makanan, pekerjaan, pendidikan, harkat dan martabat, maupun non diskriminasi , persamaan, larangan atas penganiayaan, akses terhadap informasi dan kebebasan berkumpul, berpendapat dan bergerak. Hak-hak ini dan hak lainnya serta kemerdekaan mengarah kepada komponen integral hak atas kesehatan.  4.   Dalam merancang pasal 12 Kovenan, Komite Ketiga Majelis Umum PBB tidak mengadopsi definisi kesehatan yang terdapat dalam Pembukaan Piagam WHO, yang menyatakan kesehatan sebagai keadaan fisik yang utuh, mental dan sosial yang baik serta ketiadaan penyakit, namun penjelasan pasal, 12 (1) Kovenan menyatakan bahwa “standar kesehatan fisik dan mental yang terjangkau” tidak mencakup area pelayanan kesehatan. Sebaliknya, dari sejarah perancangan dan makna gramatikal pasal 12.2 Kovenan, diketahui bahwa hak kesehatan mencakup wilayah yang luas dari faktor ekonomi dan sosial yang berpengaruh pada penciptaan kondisi dimana masyarakat dapat mencapai kehidupan yang sehat, juga mencakup faktor-faktor penentu kesehatan seperti makanan dan nutrisi, tempat tinggal, akses terhadap air minum yang sehat dan sanitasi yang memadai, kondisi kerja yang sehat dan aman serta lingkungan yang sehat.  5.   Komite menyadari bahwa bagi jutaan masyarakat di seluruh dunia, pemenuhan secara penuh hak atas kesehatan masih jauh dari harapan, lebih lagi, dalam banyak kasus, khususnya bagi mereka yang hidup dalam kemiskinan, harapan ini hanyalah semakin jauh untuk menjadi kenyataan. Komite mengetahui bahwa keadaan struktural yang kokoh dan hambatan yang berasal dari internasional, serta faktor yang lain sebagai akibat kebijakan negaralah yang menghambat realisasi secara penuh dari pasal 12 di banyak negara.  6.   Dengan suatu pandangan untuk membantu negara melaksanakan Kovenan dan pemenuhan kewajiban laporan negara, Komentar Umum ini berfokus pada isi normatif pasal 12 (bagian I). Kewajiban Negara (bagian II), pelanggaran (bagian III), pelaksanaan di tingkat nasional (bagian IV), sementara kewajiban pihak-pihak selain Negara dinyatakan dalam bagian V. Komentar Umum, didasarkan pada pengalaman Komite dalam menelaah laporan tiap Negara selama bertahun- tahun.  I. SUBSTANSI NORMATIF PASAL 12 7.   "
1480577941-komentar-umum-kovenan-hak-sipil- XHHPA .,VII PBB PBB KOMENTAR UMUM," 12.1 memuat definisi hak atas kesehatan, sementara pasal 12.2 menunjukkan secara ilustrasi dan mendetail contoh-contoh dari kewajiban Negara.  8.   Hak atas kesehatan tidaklah dapat diartikan sebagai hak untuk menjadi sehat, hak atas kesehatan berisi hak kebebasan dan kepemilikan, kemerdekaan mencakup hak untuk memeriksakan kesehatan tubuh termasuk kebebasan seksual dan berproduksi dan hak untuk bebas dari gangguan, hak untuk bebas dari penganiayaan, tindakan medis tanpa persetujuan dan eksperimen. Sebagai perbandingan, kepemilikan termasuk hak atas sistem proteksi kesehatan yang menyediakan kesempatan yang sama bagi tiap orang untuk memenuhi standar kesehatan yang memadai dan terjangkau.  9.   Pernyataan “Standar Kesehatan Yang Memadai Dan Terjangkau” pada pasal 12 (1) mencakup keadaan biologis individu dan kondisi-kondisi sosial ekonomi serta sumberdaya yang ada pada Negara. Terdapat beberapa aspek yang tidak dapat diarahkan secara sendiri dalam hubungan antara   172 Komentar Umum 14 Hak atas Standar Kesehatan Tertinggi yang Dapat Dijangkau     Negara dan Individu. Secara khusus, kesehatan yang baik tidaklah dapat dijamin oleh Negara, dan tidak juga Negara menyediakan perlindungan terhadap setiap kemungkinan penyebab penyakit manusia. Oleh karena itu, faktor genetik, kerentanan individu terhadap penyakit dan adopsi gaya hidup yang tidak sehat atau beresiko, mempunyai peranan yang sangat penting terhadap kesehatan seseorang. Sehingga, Hak Atas Kesehatan harus dipahami sebagai hak atas pemenuhan berbagai fasilitas, pelayanan dan kondisi-kondisi yang penting bagi terealisasinya standar kesehatan yang memadai dan terjangkau.  10. Sejak diadopsinya dua Kovenan internasional pada tahun 1966, kesehatan dunia berubah secara dramatis dan pemahaman mengenai kesehatan telah berubah secara substansial dan semakin luas cakupannya. Faktor-faktor yang mempengaruhi kesehatan yang menjadi pertimbangan bertambah, misalnya distribusi sumber daya dan perbedaan gender. Definisi kesehatan menjadi semakin luas misalnya masalah-masalah sosial seperti kekerasan dan konflik bersenjata24. Terlebih, bentuk-bentuk penyakit baru seperti HIV dan AIDS dan penyakit lainnya yang telah menyebar seperti kanker, juga pertumbuhan populasi dunia yang sangat cepat telah menciptakan suatu hambatan baru bagi terealisasinya hak atas kesehatan, yang mana hal-hal tersebut diatas harus diperhatikan ketika menginterpretasikan pasal 12.  11. Komite menginterpretasikan hak atas kesehatan sebagaimana tercantum dalam pasal 12.1 sebagai hak inklusif yang luas, mencakup tidak hanya pelayanan kesehatan yang tepat dan memadai, namun juga mencakup faktor-faktor peranan kesehatan, misalnya akses terhadap air minum sehat dan sanitasi yang memadai. Suplai makanan sehat yang cukup dan akses kepada pendidikan dan informasi yang berhubungan dengan kesehatan, termasuk kesehatan seksual dan kesehatan berproduksi. Aspek lain yang penting adalah partisipasi dari semua populasi dalam pembuatan kebijakan yang berhubungan dengan kesehatan di masyarakat, tingkat nasional dan internasional.  12. Hak Kesehatan dalam segala bentuknya dan semua levelnya mengandung elemen yang penting dan terkait. penerapan yang tepat akan sangat bergantung pada kondisi-kondisi tertentu dalam Negara tertentu. Yaitu:  a.    Ketersediaan. Pelaksanaan fungsi kesehatan publik dan fasilitas pelayanan kesehatan, barang dan jasa-jasa kesehatan, juga program-program, harus tersedia dalam kuantitas yang cukup disuatu Negara. Kecukupan akan Fasilitas barang dan jasa bervariasi dan bergantung pada banyak faktor, termasuk tingkat pembangunan Negara. Meskipun demikian akan mencakup faktor-faktor tertentu yang berpengaruh terhadap kesehatan misalnya, air minum yang sehat, sanitasi yang memadai, rumah sakit, klinik, dan bangunan lain-lainnya yang berkaitan dengan kesehatan. Tenaga medis yang berpengalaman dan professional dengan penghasilan yang kompetitif serta obat yang baik sebagaimana yang termaksud oleh WHO Action Programme on Essential Drugs.25     24. ketentuan umum 3 konvensi jenewa mengenai perlindungan korban perang (1949), tambahan protocol I (1977) sehubungan dengan perlindungan internasional konflik bersenjata pasal 75 (2) (a); tambahan protocol II (1977) sehubungan dengan perlindungan konflik bersenjata non internasional pasal 4 (a). 25. Lihat Daftar WHO mengenai obat-obatan essensial, direvisi desember 1999, Informasi obat WHO, vol. 13, No. 4, 1999.   173 KOMENTAR UMUM KOVENAN INTERNASIONAL HAK EKONOMI, SOSIAL DAN BUDAYA     b.    Aksesibilitas. fasilitas kesehatan, barang dan jasa26, harus dapat diakses oleh tiap orang tanpa diskriminasi, dalam jurisdiksi Negara. Aksesibilitas memiliki empat dimensi yang saling terkait yaitu: 1. Tidak diskriminasi. Fasilitas kesehatan , barang dan jasa harus dapat diakses oleh semua, terutama oleh masyarakat yang marginal atau masyarakat yang tidak terlindungi oleh hukum dan dalam kehidupan nyata, tanpa diskriminasi dengan dasar apapun juga27. 2. Akses secara fisik. Fasilitas kesehatan, barang dan jasa harus dapat terjangkau secara fisik dengan aman bagi semua, terutama bagi kelompok yang rentan atau marginal, misalnya etnis minoritas atau masyarakat terasing, perempuan, anak-anak, penyandang cacat, dan orang yang mengidap HIV / AIDS. Aksesibilitas juga berarti bahwa pelayanan kesehatan dan faktor-faktor penentu kesehatan, misalnya air minum sehat dan fasilitas sanitasi yang memadai dapat dijangkau secara fisik, termasuk di daerah pinggiran, lebih jauh lagi aksesibilitas mencakup akses ke bangunan-bangunan bagi penyandang cacat. 3. Akses ekonomi (terjangkau secara ekonomi). Fasilitas kesehatan, barang dan jasa harus dapat terjangkau secara ekonomi bagi semua. Pembayaran pelayanan perawatan kesehatan juga pelayanan yang terkait dengan faktor-faktor penentu kesehatan harus didasarkan pada prinsip kesamaan, memastikan bahwa pelayanan ini, yang tersedia baik secara privat maupun publik, terjangkau oleh semua, termasuk kelompok yang tidak beruntung secara sosial. Kesamaan mensyaratkan bahwa masyarakat miskin tidaklah harus dibebani biaya kesehatan secara tidak proporsional dibandingkan dengan masyarakat kaya. 4. Akses informasi. aksesibilitasnya mencakup hak untuk mencari dan menerima atau membagi informasi dan ide28, mengenai masalah-masalah kesehatan namun akses informasi sama dengan hak kerahasiaan data kesehatan. c.    Penerimaan. Segala fasilitas kesehatan, barang dan pelayanan harus diterima oleh etika medis dan sesuai secara budaya, misalnya menghormati kebudayaan individu-individu, kaum minoritas, kelompok dan masyarakat, sensitif terhadap jender dan persyaratan siklus hidup. Juga dirancang untuk penghormatan kerahasiaan status kesehatan dan peningkatan status kesehatan bagi mereka yang memerlukan. d.    Kualitas. Selain secara budaya diterima, fasilitas kesehatan, barang dan jasa harus secara ilmu dan secara medis sesuai serta dalam kualitas yang baik. Hal ini mensyaratkan antara lain, personil yang secara medis berkemampuan, obat-obatan dan perlengkapan rumah sakit yang secara ilmu diakui dan tidak kadaluarsa, air minum aman dan dapat diminum, serta sanitasi yang memadai.  13. Katalog yang lengkap dan mendetail seperti yang dicontohkan dalam pasal 12.2, menyediakan pegangan dalam mengarahkan tindakan yang harus dilakukan oleh Negara, katalog ini memberikan contoh umum dan spesifik berbagai langkah-langkah yang muncul dari adanya definisi yang luas   26. Meskipun secara tidak langsung tersedia, segala referensi di komentar umum ini mengenai Fasilitas kesehatan, barang dan jasa mencakup faktor-faktor penentu kesehatan yang digariskan pada no 11 dan 12 (a) komentar umum ini. 27. Lihat no. 18 dan 19 Komentar umum ini. 28. Lihat pasal 19.2 konvensi internasional mengenai hak sipil dan politik. Komentar umum ini memberikan ketentuan-ketentuan khusus untuk mengakses informasi karena kepentingan khusus masalah ini sehubungan dengan kesehatan..   174 Komentar Umum 14 Hak atas Standar Kesehatan Tertinggi yang Dapat Dijangkau     dari hak atas kesehatan dalam pasal 12.1 sehingga dapat menggambarkan isi dari hak atas tersebut, dimana lebih rinci lagi dicontohkan dalam paragraph berikut:29  "
1480577941-komentar-umum-kovenan-hak-sipil- XHHPA .,VII PBB PBB KOMENTAR UMUM," 12 (2): hak ibu, hak anak dan kesehatan reproduksi. 14. Ketentuan-ketentuan untuk mengurangi angka keguguran bayi dan angka kematian bayi serta bagi perkembangan kesehatan anak ("
1480577941-komentar-umum-kovenan-hak-sipil- XHHPA .,VII PBB PBB KOMENTAR UMUM," 12.2(a))30: dapat dipahami sebagai ukuran yang harus dipenuhi untuk meningkatkan kesehatan ibu dan anak, pelayanan kesehatan seksual dan reproduksi, termasuk akses pada KB, perawatan sebelum dan sesudah melahirkan31, pelayanan kebidananan darurat dan akses terhadap informasi, serta sumber daya yang dibutuhkan untuk tindakan berdasarkan informasi tersebut32.  "
1480577941-komentar-umum-kovenan-hak-sipil- XHHPA .,VII PBB PBB KOMENTAR UMUM," 12.2 (b) : Hak atas lingkungan alam dan tempat kerja yang sehat dan aman. 15. ”Peningkatan segala aspek lingkungan alam dan lingkungan industri yang higienis” (pasal 12.2 (b)) terdiri dari, antara lain: ukuran-ukuran preventif terhadap kecelakaan kerja dan penyakit. Persyaratan- persyaratan bagi pemenuhan suplai air minum yang sehat dan aman serta sanitasi dasar. Pencegahan dan pengurangan kerentanan masyarakat dari substansi yang membahayakan misalnya: radiasi dan zat kimia berbahaya atau kondisi lingkungan yang membahayakan, baik langsung maupun tidak langsung yang berdampak pada kesehatan seseorang33. Industri yang higienis mengarah pada minimalisasi, selama masih dalam praktek yang rasional, dari penyebab rusaknya kesehatan sehubungan dengan lingkungan kerja.34 "
1480577941-komentar-umum-kovenan-hak-sipil- XHHPA .,VII PBB PBB KOMENTAR UMUM," 12.2 (b) juga mencakup perumahan yang sehat dan memadai serta lingkungan kerja yang higienis, persediaan makanan dan nutrisi yang cukup, tidak mendorong penyalahgunaan alkohol, penggunaan tembakau, obat-obatan dan substansi lain yang berbahaya.   29. dalam literatur dan praktik mengenai hak atas kesehaan, tiga tingkat pelayanan kesehatan secara berkala mengarah pada : Pelayanan kesehatan dasar biasanya berkaitan dengan penyakit umum dan penyakit yang relatif minordan disediakan oleh professional kesehatan dan atau dokter umum yang terlatih yang bekerja dalam komunitas dengan biaya yang rendah. Pelayanan kesehatan sekunder tersedia secara terpusat, biasanya rumah sakit dan secara khusus berkaitan dengan penyakit yang relative umum dan minor atau penyakit serius yang tidak dapat diatasi pada levem masyarakat, menggunakan professional kesehatan yang terlatih dan dokter- dokter, peralatan khusus dan kadang-kadang perawatan pasien berada pada biaya yang tinggi. Pelayanan kesehatan tersier tersedia pada pusat-pusat tertentu, berhubungan dengan sedikit penyakit minor atau serius yang membutuhkan professional kesehatan dan dokter-dokter spesialis yang terlatih , peralatan yang khusus, dan biasanya mahal. Karena pelayanan kesehatan primer, sekunder dan tersier biasanya saling tunpang-indih dan berhubungansatu dengan yang lainnya, penggunaan tipologi ini tidak selalu menyediakan criteria pembedaan yang cukup untuk membantu mengkaji level atau tingkat pelayanan kesehatan mana yang harus disediakan oleh Negara dan juga membantu secara terbatas sehubungan dengan pemahaman normative mengenai pasal 12. 30. Menurut WHO, angka keguguran bayi tidaklah umum digunakan lagi, angka kematian bayi dan anak dibawah usia 5 tahun juga menjadi ukuran. 31. Prenatal diindikasikan terjadi atau sedang terjadi sebelum kelahiran; perinatal mengacu pada periode pendek sebelum dan sesudah kelahiran (pada statistik medis,periode dimulai dengan penyempurnaan 28 minggu perkembangan bayi dalam kandungan dan secara beragam didefinisikan sebagai akhir adalah antara satu sampai empat minggu setelah kelahiran; neonatal, sebaliknya mencakup periode yang secara khusus terjadi pada empat minggu pertama setelah kelahiran sementara post natal diindikasikan sebagai kejadian setelah kelahiran. Dalam komentar umum ini, terminology umum pre dan post natal diartikan secara eksklusif. 32. Kesehatan reproduksi, berarti bahwa perempuan dan laki-laki mempunyai kebebasan untuk memutuskan saat-saat untuk bereproduksi dan hak untuk diberi informasi dan akses pada metode KB yang aman, efektif dan terjangkau serta diterima, sebagai pilihan mereka selain juga hak untuk mengakses pelayanan kesehatan yang sesuai sehingga dapat sebagai contoh, membuat wanta melewati masa kehamilan dan kelahiran dengan aman. 33. Komite memberikan catatan dalam hal ini mengenai Prinsip I deklarasi Stockholm 1972 yang menyatakan bahwa “Manusia mempunyai hak fundamental atas kebebasan, kesamaan, dan kondisi kehidupan yang memadai, dalam kualitas lingkungan yang berderajat dan bermartabat. Sebagai perkembangan terkini dari hukum internasional termasuk resolusi majelis umum 45/94 dalam kebutuhan untuk menjamin lingkungan yang sehatdan memadai bagi individu-individu; Prinsip I deklarasi RIO; danperangkat HAM regional eperti pasal 10 protokol san Salvador pada Konvensi Amerika mengenai HAM. 34. Konvensi ILO No 155 pasal 4.2.   175 KOMENTAR UMUM KOVENAN INTERNASIONAL HAK EKONOMI, SOSIAL DAN BUDAYA     "
1480577941-komentar-umum-kovenan-hak-sipil- XHHPA .,VII PBB PBB KOMENTAR UMUM," 12 .2 (c) hak pencegahan, penanggulangan dan pemeriksaan penyakit 16. Pencegahan dan penanggulangan serta pengawasan penyakit epidemik dan endemik, penyakit sehubungan dengan pekerjaan dan penyakit lainnya (pasal 2.2 (c)) membutuhkan adanya pembentukan program pencegahan dan pendidikan bagi tingkah laku yang berkaitan dengan kesehatan, misalnya penyakit yang dilahirkan karena seks, khususnya HIV/AIDS dan penyakit yang berpengaruh pada kesehatan seksual dan reproduksi, promosi mengenai faktor sosial yang berpengaruh pada kesehat- an yang baik, misalnya lingkungan yang aman, pendidikan, pertumbuhan ekonomi dan kesamaan gender. Hak atas perawatan mencakup pembentukan sistem perawatan, kesehatan dalam kasus kecelakaan, penyakit epidemik dan gangguan kesehatan, dan ketentuan-ketentuan bantuan ben- cana alam serta bantuan kemanusiaan dalam situasi darurat. Pengendalian penyakit yang dilakukan negara secara sendiri atau bersama-sama untuk, antara lain, menyediakan teknologi, menggunakan dan meningkatkan ketahanan epidemi dan koleksi data dengan dasar pemisahan, Pelaksanaan dan perluasan program imunisasi dan strategi lainnya mengenai pengendalian infeksi penyakit.  "
1480577941-komentar-umum-kovenan-hak-sipil- XHHPA .,VII PBB PBB KOMENTAR UMUM," 12.2 (d) Hak atas fasilitas kesehatan, barang dan jasa35 17. Penciptaan kondisi yang dapat menjamin adanya pelayanan medis dan perhatian medis dalam keadaan sakit (Pasal12.2(d)), baik fisik maupun mental termasuk, pada akses yang sama pada pencegahan dasar, kuratif, pelayanan rehabilitasi dan pendidikan kesehatan, program screening secara teratur, perawatan yang sesuai pada penyakit prevalent, kesakitan, cidera dan cacat terutama pada tingkat komunitas; ketentuan-ketentuan obat-obatan yang esensial; pengobatan atau perawatan kesehatan mental yang tepat. Aspek peningkatan lainnya adalah peningkatan keterlibatan masyatrakat secara mendalam dalam hal penyediaan pelayanan pencegahan serta pe- nanggulangan kesehatan, seperti organisasi bidang kesehatan dan sistem asuransi, secara khusus, partisipasi dalam keputusan politik sehubungan dengan hak atas kesehatan di level komunitas tertentu dan negara.  "
1480577941-komentar-umum-kovenan-hak-sipil- XHHPA .,VII PBB PBB KOMENTAR UMUM," 12, Topik khusus dan penerapan yang lebih luas Non diskriminasi dan perlakuan yang sama 18. "
